date,cold,avg_cold,flu,avg_flu,pneumonia,avg_pneumonia,coronavirus,avg_coronavirus,avg_temp,total_case,new_case,case_per
1/20/2020,0.19217,0.15865,0.70343,0.574,3.63716,0.1579875,20.6961,0.009495,3.475,1,1,0
1/21/2020,0.22462,0.200875,0.59789,0.9171925,4.31987,0.2313275,35.33284,0.01238,1.89375,1,0,0
1/22/2020,0.23808,0.1926475,0.56661,0.820425,3.66416,0.216305,29.74474,0.0141325,4.48125,1,0,0
1/23/2020,0.30308,0.200945,0.55625,0.7840825,3.18035,0.2331475,100,0.013585,6.3125,1,0,0
1/24/2020,0.34689,0.188195,0.40226,0.80588,2.48156,0.213305,86.11541,0.014425,5.625,2,1,1
1/25/2020,0.70888,0.17592,0.39744,0.6727025,3.40926,0.197695,62.84847,0.01195,6.0875,2,0,0
1/26/2020,0.96569,0.1737875,0.40126,0.623225,3.43989,0.2004425,39.62772,0.0098825,7.05,3,1,0.5
1/27/2020,1.39513,0.1869675,0.50253,0.76879,4.38777,0.2214875,57.07446,0.011905,6.4375,4,1,0.333333333
1/28/2020,1.56922,0.1838325,0.64298,0.6787925,4.5434,0.2193775,72.63073,0.012085,7.375,4,0,0
1/29/2020,1.19978,0.1716025,0.49207,0.611955,2.73,0.1999875,52.06261,0.0129475,6.625,4,0,0
1/30/2020,0.98978,0.17058,0.44953,0.60536,2.17811,0.2061925,45.93889,0.012655,5.38125,4,0,0.5
1/31/2020,1.35841,0.1596275,0.84061,0.5024375,2.1802,0.1853075,58.4187,0.0124975,4.0375,7,3,0.833333333
2/1/2020,1.29296,0.30169,0.79288,0.450755,1.44032,0.1723975,41.5073,0.0115875,3.66875,12,5,0.090909091
2/2/2020,1.4925,0.154105,0.45298,0.44098,1.37923,0.17617,41.73647,0.0104725,3.58125,15,3,0.25
2/3/2020,1.20932,0.155695,0.49516,0.5154575,1.33886,0.1859,50.1994,0.0110625,2.45625,15,0,0
2/4/2020,1.06169,0.14806,0.37907,0.4288675,0.99397,0.18347,37.28806,0.0106075,1.58125,16,1,0.066666667
2/5/2020,1.09323,0.148265,0.34444,0.37635,0.85588,0.1703325,35.23094,0.0096525,-2.75,18,2,0.125
2/6/2020,1.03724,0.1554675,0.31644,0.3684375,0.79524,0.186445,39.3959,0.012245,-2.90625,23,5,0.277777778
2/7/2020,0.91715,0.138265,0.25808,0.3060075,0.80733,0.1727875,31.71404,0.0109925,1.1125,24,1,0.043478261
2/8/2020,0.89597,0.13608,0.18081,0.283465,0.53789,0.1528775,40.46614,0.0110175,2.25625,24,0,0
2/9/2020,0.77052,0.134515,0.17208,0.27251,0.46189,0.164945,36.07691,0.00888,1.60625,25,1,0.125
2/10/2020,0.63816,0.13974,0.21499,0.33085,0.50871,0.169695,52.11234,0.0108125,5.03125,27,2,0
2/11/2020,0.5338,0.1422175,0.17072,0.30528,0.40544,0.1635375,18.13918,0.011745,7.28125,28,1,0.037037037
