Country,date,total_cases_per_million,new_cases_smoothed_per_million,population_density,median_age,gdp_per_capita,hospital_beds_per_thousand
Afghanistan,12/31/2019,,,54.422,18.6,1803.987,0.5
Afghanistan,1/1/2020,,,54.422,18.6,1803.987,0.5
Afghanistan,1/2/2020,,,54.422,18.6,1803.987,0.5
Afghanistan,1/3/2020,,,54.422,18.6,1803.987,0.5
Afghanistan,1/4/2020,,,54.422,18.6,1803.987,0.5
Afghanistan,1/5/2020,,,54.422,18.6,1803.987,0.5
Afghanistan,1/6/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,1/7/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,1/8/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,1/9/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,1/10/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,1/11/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,1/12/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,1/13/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,1/14/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,1/15/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,1/16/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,1/17/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,1/18/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,1/19/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,1/20/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,1/21/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,1/22/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,1/23/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,1/24/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,1/25/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,1/26/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,1/27/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,1/28/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,1/29/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,1/30/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,1/31/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,2/1/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,2/2/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,2/3/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,2/4/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,2/5/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,2/6/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,2/7/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,2/8/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,2/9/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,2/10/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,2/11/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,2/12/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,2/13/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,2/14/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,2/15/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,2/16/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,2/17/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,2/18/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,2/19/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,2/20/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,2/21/2020,,0,54.422,18.6,1803.987,0.5
Afghanistan,2/22/2020,,0,54.422,18.6,1803.987,0.5
