,location,total_cases_per_million,new_cases_per_million,population_density,median_age,gdp_per_capita,diabetes_prevalence,hospital_beds_per_thousand,life_expectancy,human_development_index
0,Afghanistan,892.409,1.413,54.422,18.6,1803.987,9.59,0.5,64.83,0.498
1,Albania,1320.9744999999998,29.015,104.871,38.0,11803.431,10.08,2.89,78.57,0.785
2,Algeria,437.732,3.6715,17.348,29.1,13913.839,6.73,1.9,76.88,0.754
6,Antigua and Barbuda,776.08,0.0,231.845,32.1,21490.943,13.17,3.8,77.02,0.78
7,Argentina,2324.8745,84.9745,16.177,31.9,18933.907,5.5,5.0,76.67,0.825
8,Armenia,11474.288,61.082,102.931,35.7,8787.58,7.11,4.2,75.09,0.755
9,Australia,294.374,0.706,3.202,37.9,44648.71,5.07,3.84,83.44,0.939
10,Austria,2070.7495,11.436,106.749,44.4,45436.686,6.35,7.37,81.54,0.908
11,Azerbaijan,2504.395,12.3285,119.309,32.4,15847.419,7.11,4.7,73.0,0.757
12,Bahamas,442.469,7.629,39.497,34.3,27717.847,13.17,2.9,73.92,0.807
13,Bahrain,18528.629,135.46200000000002,1935.907,32.4,43290.705,16.52,2.0,77.29,0.846
14,Bangladesh,1234.4175,10.222000000000001,1265.036,27.5,3523.984000000001,8.38,0.8,72.59,0.608
15,Barbados,368.861,0.0,664.4630000000002,39.8,16978.068,13.57,5.8,79.19,0.8
16,Belarus,6916.4760000000015,20.742,46.858,40.3,17167.967,5.18,11.0,74.79,0.8079999999999999
17,Belgium,5329.426,27.783,375.564,41.8,42658.576,4.29,5.64,81.63,0.916
18,Belize,118.203,2.515,16.426,25.0,7824.361999999999,17.11,1.3,74.62,0.708
19,Benin,132.143,0.0,99.11,18.8,2064.236,0.99,0.5,61.77,0.515
21,Bhutan,112.751,0.0,21.188,28.6,8708.597,9.75,1.7,71.78,0.612
22,Bolivia,4893.3315,29.127,10.202,25.4,6885.8290000000015,6.89,1.1,71.51,0.693
24,Bosnia and Herzegovina,2449.3915,42.52,68.49600000000001,42.5,11713.895,10.08,3.5,77.4,0.768
25,Botswana,314.251,0.0,4.044,25.8,15807.374,4.81,1.8,69.59,0.7170000000000001
26,Brazil,8366.145499999999,72.003,25.04,33.5,14103.452,8.11,2.2,75.88,0.759
28,Brunei,322.298,0.0,81.347,32.4,71809.25099999999,12.79,2.7,75.86,0.853
29,Bulgaria,1172.061,16.119,65.18,44.7,18563.307,5.81,7.454,75.05,0.813
30,Burkina Faso,50.2075,0.335,70.15100000000001,17.6,1703.102,2.42,0.4,61.58,0.423
31,Burundi,31.789,0.0,423.062,17.5,702.225,6.05,0.8,61.58,0.417
32,Cambodia,8.434,0.0,90.672,25.6,3645.07,4.0,0.8,69.82,0.5820000000000001
33,Cameroon,608.645,0.0,50.885,18.8,3364.926,7.2,1.3,59.29,0.556
34,Canada,2708.96,13.725,4.037,41.4,44017.59099999999,7.37,2.5,82.43,0.926
35,Cape Verde,3831.917,61.152,135.58,25.7,6222.554,2.42,2.1,72.98,0.654
37,Central African Republic,928.617,0.207,7.479,18.3,661.24,6.1,1.0,53.28,0.3670000000000001
39,Chile,16665.177,87.936,24.282,35.4,22767.037,8.46,2.11,80.18,0.843
40,China,58.511,0.02,147.674,38.7,15308.712,9.74,4.34,76.91,0.752
41,Colombia,3491.803,104.77,44.223,32.2,13254.949,7.44,1.71,77.29,0.747
42,Comoros,458.834,0.0,437.352,20.4,1413.89,11.88,2.2,64.32,0.503
44,Costa Rica,1763.997,37.298,96.079,33.6,15524.995,8.78,1.13,80.28,0.794
46,Croatia,894.46,11.5705,73.726,44.0,22669.797,5.59,5.54,78.49,0.831
49,Cyprus,1177.076,7.992000000000001,127.657,37.3,32415.132,9.24,3.4,80.98,0.8690000000000001
50,Czech Republic,1230.182,11.206,137.17600000000002,43.3,32605.906000000006,6.82,6.63,79.38,0.888
52,Denmark,2235.074,12.948,136.52,42.3,46682.515,6.41,2.5,80.9,0.929
53,Djibouti,5084.503499999999,5.061,41.285,25.4,2705.406,6.05,1.4,67.11,0.476
55,Dominican Republic,4556.456,33.46250000000001,222.873,27.6,14600.861,8.2,1.6,74.08,0.736
56,Ecuador,3943.194,29.388,66.939,28.1,10581.936000000003,5.55,1.5,77.01,0.752
57,Egypt,744.8330000000002,1.534,97.999,25.3,10550.206,17.31,1.6,71.99,0.696
58,El Salvador,1910.9025,14.878,307.811,27.6,7292.458,8.87,1.3,73.32,0.674
59,Equatorial Guinea,2188.904,0.0,45.194,22.4,22604.873,7.78,2.1,58.74,0.591
60,Eritrea,70.775,0.0,44.304,19.3,1510.4589999999996,6.05,0.7,66.32,0.44
61,Estonia,1518.237,5.277,31.033,42.7,29481.252,4.02,4.69,78.74,0.871
62,Ethiopia,79.564,2.853,104.957,19.8,1729.927,7.47,0.3,66.6,0.463
65,Fiji,30.119,0.0,49.562,28.6,8702.975,14.49,2.3,67.44,0.741
66,Finland,1297.846,4.512,18.136,42.8,40585.721,5.76,3.28,81.91,0.92
67,France,2471.2555,16.316,122.578,42.0,38605.671,4.77,5.98,82.66,0.901
